frame,total_ms,raster_ms,other_ms,flushes,tris,binned
152,16.952,5.799,11.152,2,6,1000
153,16.512,5.438,11.074,2,6,1000
154,17.007,5.729,11.278,2,6,1000
155,16.529,5.581,10.947,2,6,1000
156,16.647,5.562,11.085,2,6,1000
157,16.680,5.577,11.103,2,6,1000
158,16.816,5.705,11.111,2,6,1000
159,16.346,5.405,10.941,2,6,1000
160,16.738,5.466,11.272,2,6,1000
161,16.647,5.459,11.187,2,6,1000
162,16.714,5.510,11.204,2,6,1000
163,16.598,5.434,11.164,2,6,1000
164,16.612,5.391,11.221,2,6,1000
165,16.760,5.478,11.281,2,6,1000
166,16.610,5.415,11.194,2,6,1000
167,16.863,5.625,11.238,2,6,1000
168,16.517,5.475,11.042,2,6,1000
169,16.735,5.541,11.195,2,6,1000
170,16.979,5.850,11.129,2,6,1000
171,16.600,5.777,10.823,2,6,1000
172,16.698,5.809,10.889,2,6,1000
173,16.528,5.647,10.881,2,6,1000
174,16.786,5.764,11.022,2,6,1000
175,16.396,5.522,10.874,2,6,1000
176,16.631,5.476,11.155,2,6,1000
177,16.758,5.556,11.202,2,6,1000
178,16.546,5.455,11.091,2,6,1000
179,16.807,5.602,11.205,2,6,1000
180,16.556,5.495,11.061,2,6,1000
181,16.683,5.511,11.172,2,6,1000
182,16.872,5.710,11.162,2,6,1000
183,16.626,5.664,10.962,2,6,1000
184,16.468,5.466,11.002,2,6,1000
185,16.774,5.578,11.196,2,6,1000
186,16.627,5.539,11.088,2,6,1000
187,16.625,5.492,11.133,2,6,1000
188,16.766,5.586,11.180,2,6,1000
189,16.743,5.668,11.075,2,6,1000
190,16.525,5.511,11.015,2,6,1000
191,16.755,5.626,11.129,2,6,1000
192,16.548,5.497,11.051,2,6,1000
193,16.651,5.488,11.164,2,6,1000
194,16.678,5.495,11.183,2,6,1000
195,16.592,5.429,11.163,2,6,1000
196,16.701,5.454,11.247,2,6,1000
197,16.734,5.519,11.215,2,6,1000
198,16.654,5.512,11.142,2,6,1000
199,18.950,7.771,11.179,2,8,1640
200,16.753,7.868,8.885,2,8,1640
201,16.762,7.969,8.794,2,8,1640
202,16.463,7.755,8.707,2,8,1640
203,16.642,7.738,8.904,2,8,1640
204,16.630,7.698,8.932,2,8,1640
205,16.797,7.827,8.970,2,8,1640
206,16.499,7.660,8.839,2,8,1640
207,16.803,7.792,9.011,2,8,1640
208,16.556,7.683,8.873,2,8,1640
209,16.714,7.726,8.988,2,8,1640
210,16.584,7.650,8.934,2,8,1640
211,16.760,7.754,9.006,2,8,1640
212,16.742,7.820,8.922,2,8,1640
213,16.637,7.789,8.848,2,8,1640
214,16.638,7.768,8.870,2,8,1640
215,16.752,7.848,8.904,2,8,1640
216,16.620,7.807,8.813,2,8,1640
217,16.636,7.768,8.867,2,8,1640
218,16.627,7.734,8.893,2,8,1640
219,16.744,7.805,8.939,2,8,1640
220,16.844,7.980,8.864,2,8,1640
221,16.578,7.875,8.703,2,8,1640
222,16.487,7.723,8.764,2,8,1640
223,16.832,7.880,8.953,2,8,1640
224,17.172,8.363,8.809,2,8,1640
225,16.104,7.826,8.278,2,8,1640
226,16.638,7.793,8.845,2,8,1640
227,16.725,7.861,8.864,2,8,1640
228,16.518,7.713,8.806,2,8,1640
229,16.730,7.763,8.967,2,8,1640
230,16.914,8.018,8.896,2,8,1640
231,16.359,7.713,8.646,2,8,1640
232,16.734,7.776,8.957,2,8,1640
233,16.698,7.805,8.893,2,8,1640
234,16.703,7.838,8.865,2,8,1640
235,16.582,7.759,8.824,2,8,1640
236,17.114,8.208,8.906,2,8,1640
237,16.329,7.870,8.459,2,8,1640
238,16.621,7.821,8.800,2,8,1640
239,16.536,7.690,8.846,2,8,1640
240,16.738,7.766,8.972,2,8,1640
241,16.666,7.764,8.902,2,8,1640
242,16.705,7.799,8.906,2,8,1640
243,16.801,7.937,8.864,2,8,1640
244,16.512,7.784,8.728,2,8,1640
245,16.747,7.862,8.885,2,8,1640
246,16.531,7.727,8.804,2,8,1640
247,16.676,7.739,8.936,2,8,1640
248,16.815,7.882,8.933,2,8,1640
249,16.714,7.931,8.783,2,8,1640
250,16.395,7.665,8.730,2,8,1640
251,16.708,7.699,9.009,2,8,1640
252,16.788,7.808,8.980,2,8,1640
253,14.935,6.123,8.812,2,4,1120
254,44.837,18.200,26.637,2,56,4720
255,17.467,16.345,1.123,2,54,4080
256,17.645,16.408,1.236,2,54,4080
257,17.846,16.729,1.117,2,54,4100
258,17.760,16.602,1.158,2,54,4100
259,18.168,17.107,1.061,2,54,4080
260,18.795,17.486,1.309,2,54,4080
261,18.566,17.518,1.048,2,54,4100
262,18.630,17.621,1.009,2,54,4100
263,17.693,16.579,1.115,2,54,4080
264,18.286,17.205,1.082,2,54,4080
265,18.988,17.932,1.056,2,54,4100
266,17.992,16.963,1.029,2,54,4100
267,17.418,16.309,1.109,2,54,4080
268,17.559,16.519,1.040,2,54,4080
269,17.700,16.498,1.202,2,54,4100
270,17.484,16.351,1.133,2,54,4100
271,17.326,16.295,1.032,2,54,4080
272,17.884,16.750,1.135,2,54,4080
273,17.580,16.543,1.037,2,54,4100
274,17.456,16.333,1.123,2,54,4100
275,17.402,16.305,1.097,2,54,4080
276,17.496,16.415,1.082,2,54,4080
277,17.566,16.466,1.100,2,54,4100
278,17.316,16.308,1.008,2,54,4100
279,17.569,16.385,1.184,2,54,4080
280,17.219,16.150,1.069,2,54,4080
281,17.386,16.359,1.027,2,54,4100
282,17.528,16.480,1.048,2,54,4100
283,17.118,16.094,1.024,2,54,4080
284,17.327,16.226,1.101,2,54,4080
285,17.489,16.392,1.097,2,54,4080
286,17.363,16.275,1.088,2,54,4080
287,17.343,16.324,1.019,2,54,4080
288,17.286,16.233,1.053,2,54,4080
289,17.896,16.739,1.158,2,54,4080
290,17.440,16.423,1.017,2,54,4080
291,17.617,16.530,1.087,2,54,4100
292,17.442,16.396,1.046,2,54,4100
293,17.387,16.287,1.100,2,54,4080
294,17.647,16.573,1.074,2,54,4080
295,19.027,17.882,1.145,2,54,4100
296,18.022,16.917,1.105,2,54,4100
297,17.873,16.765,1.108,2,54,4080
298,17.726,16.621,1.105,2,54,4080
299,18.115,17.093,1.022,2,54,4100
300,17.450,16.430,1.020,2,54,4100
301,17.973,16.679,1.294,2,54,4080
302,17.451,16.412,1.040,2,54,4080
303,17.395,16.352,1.044,2,54,4100
304,17.696,16.565,1.131,2,54,4100
305,17.933,16.824,1.109,2,54,4080
306,17.265,16.217,1.048,2,54,4080
307,20.463,16.934,3.530,2,344,4456
308,17.082,14.862,2.220,2,342,3816
309,16.598,14.530,2.068,2,342,3796
310,17.223,14.796,2.426,2,342,3796
311,17.025,14.927,2.098,2,342,3816
312,17.022,14.941,2.081,2,342,3816
313,16.610,14.541,2.069,2,342,3796
314,16.598,14.471,2.127,2,342,3796
315,16.910,14.723,2.187,2,342,3816
316,17.353,15.274,2.079,2,342,3816
317,16.835,14.759,2.075,2,342,3796
318,16.602,14.441,2.161,2,342,3796
319,16.981,14.767,2.213,2,342,3796
320,16.988,14.851,2.137,2,342,3796
321,16.624,14.533,2.092,2,342,3796
322,16.498,14.346,2.152,2,342,3796
323,16.836,14.542,2.293,2,342,3796
324,16.894,14.759,2.135,2,342,3796
325,16.730,14.682,2.048,2,342,3816
326,16.826,14.774,2.052,2,342,3816
327,16.744,14.702,2.042,2,342,3796
328,16.902,14.778,2.124,2,342,3796
329,17.022,14.788,2.234,2,342,3816
330,16.856,14.768,2.088,2,342,3816
331,16.613,14.550,2.063,2,342,3796
332,16.248,14.597,1.651,2,214,3636
333,16.746,14.674,2.072,2,214,3656
334,16.622,14.567,2.055,2,214,3656
335,16.618,14.585,2.033,2,214,3636
336,16.509,14.408,2.101,2,214,3636
337,16.809,14.563,2.246,2,214,3656
338,16.805,14.715,2.090,2,214,3656
