# cpu: sse2=1 sse41=1 avx2=1 avx512=1
frame,total_ms,raster_ms,other_ms,flushes,tris,binned,area_px,bbox_px,tw,th,m_tex,m_bilin,m_over,m_add,m_blendoth,m_atest,m_ztest,m_flat,m_linv
50,16.696,7.651,9.045,3,8,1640,3522122,6328304,2048,1024,3522122,916168,2605954,0,0,2605954,0,3522122,962122
51,16.659,7.642,9.017,3,8,1640,3522122,6328304,2048,1024,3522122,916168,2605954,0,0,2605954,0,3522122,962122
52,16.613,7.590,9.023,3,8,1640,3522122,6328304,2048,1024,3522122,916168,2605954,0,0,2605954,0,3522122,962122
53,16.676,7.602,9.074,3,8,1640,3522122,6328304,2048,1024,3522122,916168,2605954,0,0,2605954,0,3522122,962122
54,16.623,7.555,9.067,3,8,1640,3522122,6328304,2048,1024,3522122,916168,2605954,0,0,2605954,0,3522122,962122
55,16.827,7.712,9.115,3,8,1640,3522122,6328304,2048,1024,3522122,916168,2605954,0,0,2605954,0,3522122,962122
56,16.670,7.720,8.951,3,8,1640,3522122,6328304,2048,1024,3522122,916168,2605954,0,0,2605954,0,3522122,962122
57,16.534,7.578,8.956,3,8,1640,3522122,6328304,2048,1024,3522122,916168,2605954,0,0,2605954,0,3522122,962122
58,14.319,5.269,9.050,2,6,1000,1883722,3768304,2048,1024,1883722,916168,967554,0,0,967554,0,1883722,962122
59,16.803,5.405,11.399,2,6,1000,1883722,3768304,2048,1024,1883722,916168,967554,0,0,967554,0,1883722,962122
60,16.599,5.352,11.247,2,6,1000,1883722,3768304,2048,1024,1883722,916168,967554,0,0,967554,0,1883722,962122
61,16.756,5.435,11.321,2,6,1000,1883722,3768304,2048,1024,1883722,916168,967554,0,0,967554,0,1883722,962122
62,16.737,5.497,11.240,2,6,1000,1883722,3768304,2048,1024,1883722,916168,967554,0,0,967554,0,1883722,962122
63,16.573,5.404,11.169,2,6,1000,1883722,3768304,2048,1024,1883722,916168,967554,0,0,967554,0,1883722,962122
64,16.843,5.578,11.265,2,6,1000,1883722,3768304,2048,1024,1883722,916168,967554,0,0,967554,0,1883722,962122
65,16.590,5.514,11.076,2,6,1000,1883722,3768304,2048,1024,1883722,916168,967554,0,0,967554,0,1883722,962122
66,16.720,5.556,11.163,2,6,1000,1883722,3768304,2048,1024,1883722,916168,967554,0,0,967554,0,1883722,962122
67,16.565,5.460,11.105,2,6,1000,1883722,3768304,2048,1024,1883722,916168,967554,0,0,967554,0,1883722,962122
68,16.800,5.567,11.234,2,6,1000,1883722,3768304,2048,1024,1883722,916168,967554,0,0,967554,0,1883722,962122
69,16.588,5.522,11.066,2,6,1000,1883722,3768304,2048,1024,1883722,916168,967554,0,0,967554,0,1883722,962122
70,16.420,5.261,11.159,2,6,1000,1883722,3768304,2048,1024,1883722,916168,967554,0,0,967554,0,1883722,962122
71,16.678,5.249,11.429,2,6,1000,1883722,3768304,2048,1024,1883722,916168,967554,0,0,967554,0,1883722,962122
72,16.763,5.372,11.391,2,6,1000,1883722,3768304,2048,1024,1883722,916168,967554,0,0,967554,0,1883722,962122
73,16.935,5.617,11.317,2,6,1000,1883722,3768304,2048,1024,1883722,916168,967554,0,0,967554,0,1883722,962122
74,16.514,5.504,11.011,2,6,1000,1883722,3768304,2048,1024,1883722,916168,967554,0,0,967554,0,1883722,962122
75,16.524,5.346,11.178,2,6,1000,1883722,3768304,2048,1024,1883722,916168,967554,0,0,967554,0,1883722,962122
76,17.080,5.383,11.697,2,6,1000,1883722,3768304,2048,1024,1883722,916168,967554,0,0,967554,0,1883722,962122
77,16.965,5.494,11.471,2,6,1000,1883722,3768304,2048,1024,1883722,916168,967554,0,0,967554,0,1883722,962122
78,17.643,5.442,12.202,2,6,1000,1883722,3768304,2048,1024,1883722,916168,967554,0,0,967554,0,1883722,962122
79,17.436,5.496,11.940,2,6,1000,1883722,3768304,2048,1024,1883722,916168,967554,0,0,967554,0,1883722,962122
80,17.300,5.649,11.651,2,6,1000,1883722,3768304,2048,1024,1883722,916168,967554,0,0,967554,0,1883722,962122
81,17.326,5.425,11.902,2,6,1000,1883722,3768304,2048,1024,1883722,916168,967554,0,0,967554,0,1883722,962122
82,16.590,5.303,11.287,2,6,1000,1883722,3768304,2048,1024,1883722,916168,967554,0,0,967554,0,1883722,962122
83,17.193,5.751,11.442,2,6,1000,1883722,3768304,2048,1024,1883722,916168,967554,0,0,967554,0,1883722,962122
84,18.116,5.578,12.538,2,6,1000,1883722,3768304,2048,1024,1883722,916168,967554,0,0,967554,0,1883722,962122
85,17.362,5.681,11.680,2,6,1000,1883722,3768304,2048,1024,1883722,916168,967554,0,0,967554,0,1883722,962122
86,17.106,5.778,11.329,2,6,1000,1883722,3768304,2048,1024,1883722,916168,967554,0,0,967554,0,1883722,962122
87,17.525,5.738,11.787,2,6,1000,1883722,3768304,2048,1024,1883722,916168,967554,0,0,967554,0,1883722,962122
88,17.761,5.428,12.333,2,6,1000,1883722,3768304,2048,1024,1883722,916168,967554,0,0,967554,0,1883722,962122
89,16.560,5.317,11.243,2,6,1000,1883722,3768304,2048,1024,1883722,916168,967554,0,0,967554,0,1883722,962122
