frame,total_ms,raster_ms,other_ms,flushes,tris,binned
153,16.821,7.729,9.091,2,6,1000
154,16.588,7.653,8.935,2,6,1000
155,16.558,7.542,9.017,2,6,1000
156,16.916,7.816,9.100,2,6,1000
157,16.746,7.901,8.845,2,6,1000
158,16.328,7.552,8.776,2,6,1000
159,16.764,7.651,9.114,2,6,1000
160,16.811,7.796,9.015,2,6,1000
161,16.498,7.629,8.869,2,6,1000
162,16.911,7.875,9.036,2,6,1000
163,16.708,7.918,8.790,2,6,1000
164,16.395,7.639,8.756,2,6,1000
165,16.947,7.923,9.023,2,6,1000
166,16.745,8.001,8.744,2,6,1000
167,16.281,7.615,8.666,2,6,1000
168,16.782,7.725,9.057,2,6,1000
169,16.822,7.885,8.937,2,6,1000
170,16.527,7.749,8.778,2,6,1000
171,16.624,7.704,8.920,2,6,1000
172,16.791,7.834,8.957,2,6,1000
173,16.485,7.646,8.839,2,6,1000
174,17.292,8.270,9.022,2,6,1000
175,16.616,8.226,8.390,2,6,1000
176,16.561,8.123,8.438,2,6,1000
177,16.648,8.098,8.550,2,6,1000
178,16.841,8.248,8.594,2,6,1000
179,16.533,8.144,8.389,2,6,1000
180,16.267,7.737,8.529,2,6,1000
181,16.869,7.946,8.922,2,6,1000
182,16.304,7.587,8.717,2,6,1000
183,16.932,7.843,9.089,2,6,1000
184,16.509,7.686,8.823,2,6,1000
185,17.106,8.122,8.984,2,6,1000
186,16.391,7.822,8.569,2,6,1000
187,16.439,7.621,8.818,2,6,1000
188,16.618,7.573,9.045,2,6,1000
189,16.926,7.836,9.090,2,6,1000
190,16.424,7.597,8.828,2,6,1000
191,16.620,7.543,9.077,2,6,1000
192,16.944,7.822,9.122,2,6,1000
193,16.576,7.733,8.843,2,6,1000
194,16.488,7.552,8.936,2,6,1000
195,16.873,7.762,9.111,2,6,1000
196,16.539,7.632,8.906,2,6,1000
197,16.704,7.668,9.036,2,6,1000
198,16.835,7.835,9.000,2,6,1000
199,16.686,7.845,8.842,2,6,1000
200,16.492,7.682,8.810,2,6,1000
201,16.729,7.745,8.984,2,6,1000
202,16.571,7.655,8.916,2,6,1000
203,16.605,7.584,9.021,2,6,1000
204,17.188,8.096,9.091,2,6,1000
205,16.471,7.916,8.555,2,6,1000
206,16.574,7.809,8.765,2,6,1000
207,16.648,7.801,8.847,2,6,1000
208,16.540,7.676,8.865,2,6,1000
209,16.596,7.611,8.984,2,6,1000
210,16.939,7.878,9.061,2,6,1000
211,16.480,7.694,8.785,2,6,1000
212,16.540,7.564,8.976,2,6,1000
213,16.868,7.765,9.103,2,6,1000
214,16.967,8.062,8.905,2,6,1000
215,16.189,7.579,8.610,2,6,1000
216,16.680,7.596,9.083,2,6,1000
217,16.727,7.666,9.061,2,6,1000
218,16.622,7.612,9.009,2,6,1000
219,16.652,7.600,9.053,2,6,1000
220,16.761,7.690,9.071,2,6,1000
221,16.583,7.618,8.965,2,6,1000
222,16.912,7.856,9.056,2,6,1000
223,16.507,7.704,8.803,2,6,1000
224,16.638,7.667,8.971,2,6,1000
225,16.834,7.840,8.994,2,6,1000
226,16.662,7.837,8.825,2,6,1000
227,16.703,7.866,8.837,2,6,1000
228,16.776,7.975,8.801,2,6,1000
229,16.313,7.627,8.686,2,6,1000
230,16.931,7.895,9.036,2,6,1000
231,16.481,7.700,8.780,2,6,1000
232,16.611,7.650,8.961,2,6,1000
233,16.736,7.718,9.018,2,6,1000
234,16.808,7.831,8.977,2,6,1000
235,16.545,7.731,8.814,2,6,1000
236,16.529,7.604,8.924,2,6,1000
237,16.939,7.868,9.070,2,6,1000
238,16.483,7.687,8.796,2,6,1000
239,16.551,7.569,8.981,2,6,1000
240,17.292,8.194,9.099,2,6,1000
241,16.307,7.835,8.472,2,6,1000
242,16.431,7.602,8.829,2,6,1000
243,16.844,7.752,9.092,2,6,1000
244,16.511,7.623,8.888,2,6,1000
245,16.957,7.912,9.045,2,6,1000
246,16.556,7.802,8.753,2,6,1000
247,16.546,7.681,8.865,2,6,1000
248,16.581,7.593,8.988,2,6,1000
249,16.749,7.679,9.070,2,6,1000
250,16.608,7.618,8.991,2,6,1000
251,16.687,7.642,9.045,2,6,1000
252,16.869,7.845,9.024,2,6,1000
253,16.435,7.612,8.823,2,6,1000
254,16.681,7.626,9.055,2,6,1000
255,16.779,7.738,9.041,2,6,1000
256,16.647,7.704,8.943,2,6,1000
257,16.575,7.629,8.946,2,6,1000
258,21.219,12.166,9.053,2,8,1640
259,16.306,11.793,4.513,2,8,1640
260,16.872,12.008,4.863,2,8,1640
261,16.465,11.810,4.655,2,8,1640
262,16.728,11.870,4.858,2,8,1640
263,16.644,11.848,4.797,2,8,1640
264,17.738,12.920,4.818,2,8,1640
265,16.242,12.493,3.749,2,8,1640
266,17.229,13.056,4.173,2,8,1640
267,16.342,12.733,3.609,2,8,1640
268,16.814,12.875,3.939,2,8,1640
269,16.310,12.520,3.790,2,8,1640
270,16.652,12.509,4.143,2,8,1640
271,16.765,12.604,4.161,2,8,1640
272,15.902,11.845,4.057,2,8,1640
273,16.606,11.788,4.818,2,8,1640
274,16.679,11.794,4.885,2,8,1640
275,16.749,11.875,4.874,2,8,1640
276,16.851,12.066,4.786,2,8,1640
277,16.495,11.893,4.602,2,8,1640
278,16.699,11.921,4.778,2,8,1640
279,16.527,11.783,4.745,2,8,1640
280,17.000,12.111,4.889,2,8,1640
281,16.356,11.806,4.549,2,8,1640
282,16.925,12.062,4.862,2,8,1640
283,16.563,11.962,4.600,2,8,1640
284,16.518,11.810,4.708,2,8,1640
285,16.796,11.941,4.854,2,8,1640
286,16.847,12.122,4.725,2,8,1640
287,16.384,11.838,4.546,2,8,1640
288,16.695,11.864,4.830,2,8,1640
289,16.843,12.014,4.829,2,8,1640
290,16.685,12.060,4.624,2,8,1640
291,16.623,12.018,4.605,2,8,1640
292,16.593,11.946,4.648,2,8,1640
293,16.512,11.791,4.721,2,8,1640
294,16.875,11.999,4.876,2,8,1640
295,16.670,11.919,4.750,2,8,1640
296,16.565,11.900,4.665,2,8,1640
297,16.817,12.056,4.761,2,8,1640
298,16.430,11.814,4.616,2,8,1640
299,16.641,11.787,4.855,2,8,1640
300,16.711,11.832,4.879,2,8,1640
301,16.862,12.026,4.836,2,8,1640
302,16.561,11.922,4.639,2,8,1640
303,16.769,12.030,4.740,2,8,1640
304,16.526,11.883,4.643,2,8,1640
305,17.240,12.459,4.782,2,8,1640
306,16.223,12.012,4.212,2,8,1640
307,16.578,11.928,4.650,2,8,1640
308,16.600,11.854,4.746,2,8,1640
309,17.049,12.240,4.809,2,8,1640
310,16.607,12.182,4.425,2,8,1640
311,16.934,12.135,4.799,2,8,1640
312,13.801,8.965,4.836,2,4,1120
313,50.595,26.054,24.541,2,56,4720
314,23.294,22.250,1.044,2,54,4080
315,23.423,22.387,1.035,2,54,4080
316,23.894,22.687,1.207,2,54,4100
317,24.528,23.476,1.051,2,54,4100
318,23.525,22.361,1.164,2,54,4080
319,23.606,22.497,1.110,2,54,4080
320,23.727,22.634,1.093,2,54,4100
321,25.307,24.183,1.124,2,54,4100
322,24.069,23.016,1.052,2,54,4080
323,23.883,22.745,1.138,2,54,4080
324,23.847,22.772,1.074,2,54,4100
325,23.712,22.538,1.175,2,54,4100
326,27.725,26.357,1.369,2,54,4080
327,24.954,23.845,1.109,2,54,4080
328,25.746,24.681,1.065,2,54,4100
329,27.252,26.178,1.074,2,54,4100
330,26.052,24.765,1.287,2,54,4080
331,25.782,24.725,1.057,2,54,4080
332,25.128,24.071,1.057,2,54,4100
333,27.269,26.195,1.074,2,54,4100
334,25.688,24.523,1.165,2,54,4080
335,26.823,25.748,1.075,2,54,4080
336,25.253,24.196,1.057,2,54,4100
337,26.763,25.624,1.138,2,54,4100
338,28.018,26.921,1.097,2,54,4080
339,26.075,24.976,1.099,2,54,4080
340,26.163,25.097,1.067,2,54,4100
341,26.096,24.990,1.107,2,54,4100
342,25.826,24.614,1.213,2,54,4080
343,24.525,23.468,1.057,2,54,4080
344,24.999,23.848,1.151,2,54,4080
345,26.741,25.633,1.108,2,54,4080
346,23.749,22.534,1.215,2,54,4080
347,24.510,23.200,1.310,2,54,4080
348,23.871,22.695,1.176,2,54,4080
349,23.697,22.642,1.055,2,54,4080
350,26.024,24.952,1.073,2,54,4100
351,25.535,24.355,1.180,2,54,4100
352,23.768,22.701,1.067,2,54,4080
353,23.649,22.606,1.043,2,54,4080
354,24.468,23.429,1.039,2,54,4100
355,23.622,22.474,1.148,2,54,4100
356,23.974,22.949,1.025,2,54,4080
357,24.525,23.258,1.267,2,54,4080
358,23.642,22.497,1.145,2,54,4100
359,23.870,22.802,1.068,2,54,4100
360,23.631,22.545,1.086,2,54,4080
361,24.100,23.038,1.062,2,54,4080
362,24.374,23.246,1.128,2,54,4100
363,25.072,23.784,1.288,2,54,4100
364,23.960,22.857,1.104,2,54,4080
365,23.570,22.537,1.032,2,54,4080
366,26.486,22.968,3.519,2,344,4456
367,21.308,19.173,2.135,2,342,3816
368,21.316,19.229,2.087,2,342,3796
369,20.825,18.758,2.067,2,342,3796
370,21.114,19.054,2.060,2,342,3816
371,21.228,19.081,2.147,2,342,3816
372,20.843,18.615,2.227,2,342,3796
373,21.146,19.054,2.092,2,342,3796
374,21.165,19.017,2.148,2,342,3816
375,21.440,19.343,2.097,2,342,3816
376,20.974,18.864,2.110,2,342,3796
377,20.932,18.839,2.093,2,342,3796
378,21.001,18.879,2.122,2,342,3796
379,21.179,18.967,2.212,2,342,3796
380,20.918,18.736,2.181,2,342,3796
381,20.956,18.783,2.173,2,342,3796
382,21.060,18.944,2.116,2,342,3796
383,21.052,18.960,2.092,2,342,3796
384,21.136,19.076,2.060,2,342,3816
385,21.474,19.385,2.089,2,342,3816
386,20.949,18.863,2.086,2,342,3796
387,21.085,18.879,2.207,2,342,3796
388,21.158,19.077,2.081,2,342,3816
389,21.428,19.249,2.179,2,342,3816
390,21.052,18.882,2.170,2,342,3796
391,20.709,19.092,1.617,2,214,3636
392,20.767,19.155,1.612,2,214,3656
393,20.400,18.725,1.674,2,214,3656
394,20.461,18.773,1.688,2,214,3636
395,20.269,18.574,1.695,2,214,3636
396,20.228,18.637,1.591,2,214,3656
397,20.633,19.059,1.574,2,214,3656
398,20.428,18.792,1.636,2,214,3636
399,20.573,18.773,1.800,2,214,3636
400,20.377,18.752,1.625,2,214,3656
401,20.628,19.044,1.584,2,214,3656
402,20.349,18.747,1.602,2,214,3636
403,20.928,19.343,1.585,2,214,3636
404,20.609,18.960,1.649,2,214,3656
405,20.287,18.643,1.644,2,214,3656
406,21.861,20.189,1.672,2,214,3636
407,21.701,19.912,1.788,2,214,3636
408,22.739,21.104,1.636,2,214,3656
409,20.817,19.214,1.603,2,214,3656
410,21.568,19.984,1.584,2,214,3636
411,23.402,19.764,3.637,2,214,3636
412,20.955,19.760,1.195,2,52,3440
413,21.105,20.051,1.054,2,52,3440
414,19.401,18.366,1.035,2,52,3440
415,19.687,18.627,1.060,2,52,3440
416,19.918,18.716,1.202,2,52,3440
417,19.715,18.456,1.258,2,52,3440
418,19.749,18.715,1.034,2,52,3460
419,19.963,18.862,1.101,2,52,3460
420,19.931,18.733,1.198,2,52,3440
421,19.949,18.790,1.159,2,52,3440
422,20.320,19.177,1.143,2,52,3460
423,19.804,18.694,1.110,2,52,3460
424,26.981,20.508,6.473,2,1152,6258
425,25.600,20.358,5.241,2,1152,6258
426,25.538,20.596,4.942,2,1152,6278
427,25.746,20.631,5.115,2,1152,6278
428,25.249,20.193,5.056,2,1152,6258
429,25.264,20.343,4.921,2,1152,6258
430,25.435,20.462,4.974,2,1152,6278
431,25.611,20.441,5.170,2,1152,6278
432,25.212,20.285,4.926,2,1152,6258
433,25.371,20.317,5.054,2,1152,6258
434,25.574,20.647,4.927,2,1152,6278
435,25.021,20.316,4.705,2,1152,6278
436,25.390,20.463,4.927,2,1152,6258
437,25.443,20.659,4.784,2,1152,6258
438,25.424,20.412,5.012,2,1152,6278
439,25.287,20.388,4.898,2,1152,6278
