run,session_time,pid,chunk,classified_outcome,run_exit_code,run_hung,stdout_done,stdout_cycle,loads_before_fault,saves_before_fault,code,pc,site,module,offset,thread,frames_since_restore,truncated,interleaved,regs_trusted,n_faults_in_session,access_kind,access_addr,access_who,access_who_class,access_heap,access_heap_rewind,faulting_regs,unwind_depth,chain,addr_shape,half_ptr_match,shape_line,pattern_line,stack_base,stack_limit,stack_reserve,rsp,park_module,thread_role,n_regs_reported,n_regs_restored,n_regs_held,n_regs_neither,n_regs_rewind_heap,n_regs_present_heap,n_regs_no_heap,reg_summary
26,2026-08-31 18:53:16,14140,chunk_02.txt,DIED,0,0,0,entered,11,11,C0000005,00007FFDF466E1A4,ucrtbase.dll+1E1A4,ucrtbase.dll,1E1A4,25880,0,0,0,1,1,reading,0000000000000001,unmapped,unmapped,,,r9,6,ucrtbase.dll+1E1A4 > ucrtbase.dll+18588 > ss_ctx.exe+124A2 > ss_ctx.exe+3238 > KERNEL32.DLL+2E8D7 > ntdll.dll+8C3FC,null-or-small,,,0,000000F340C00000,000000F340BF5000,000000F33FC00000,000000F340BFF280,ucrtbase.dll,restored-other,7,6,1,0,0,0,7,rax=000000F340BFF340|committed|side=restored-from-save;rcx=000000F340BFF90E|committed|side=restored-from-save;rbx=000000F340BFF360|committed|side=restored-from-save;rsp=000000F340BFF280|committed|side=restored-from-save;rbp=000000F340BFF360|committed|side=restored-from-save;rsi=00007FFDF4650000|committed|side=held-in-present;rdi=000000F340BFF3A0|committed|side=restored-from-save
29,2026-08-31 18:53:32,10436,chunk_02.txt,DIED,0,0,0,entered,6,6,C0000005,00007FFDF466E558,ucrtbase.dll+1E558,ucrtbase.dll,1E558,17668,0,0,0,1,1,reading,FFFFFFFFFFFFFFFF,unmapped,unmapped,,,,6,ucrtbase.dll+1E558 > ucrtbase.dll+18588 > ss_ctx.exe+124A2 > ss_ctx.exe+3238 > KERNEL32.DLL+2E8D7 > ntdll.dll+8C3FC,all-ones,,"high half FFFFFFFF present, low half ALL ONES - a 64-bit value whose low dword was -1 when it was read",0,000000B1A6400000,000000B1A63F5000,000000B1A5400000,000000B1A63FF0F0,ucrtbase.dll,restored-other,5,4,1,0,0,0,5,rsp=000000B1A63FF0F0|committed|side=restored-from-save;rbp=000000B1A63FF1D0|committed|side=restored-from-save;rsi=00007FFDF4650000|committed|side=held-in-present;rdi=000000B1A63FF210|committed|side=restored-from-save;r8=000000B1A63FF0F0|committed|side=restored-from-save
30,2026-08-31 18:53:36,12716,chunk_02.txt,DIED,0,0,0,entered,13,13,C0000005,00007FFDF4669CD8,ucrtbase.dll+19CD8,ucrtbase.dll,19CD8,13668,0,0,0,1,1,reading,0000000000019DFC,unmapped,unmapped,,,,7,ucrtbase.dll+19CD8 > ucrtbase.dll+1E541 > ucrtbase.dll+18588 > ss_ctx.exe+124A2 > ss_ctx.exe+3238 > KERNEL32.DLL+2E8D7 > ntdll.dll+8C3FC,other,,,0,0000006EB9400000,0000006EB93F5000,0000006EB8400000,0000006EB93FF4F0,ucrtbase.dll,restored-other,7,5,2,0,0,0,7,rcx=00007FFDF4669CD8|committed|side=held-in-present;rbx=0000006EB93FF690|committed|side=restored-from-save;rsp=0000006EB93FF4F0|committed|side=restored-from-save;rbp=0000006EB93FF650|committed|side=restored-from-save;rsi=00007FFDF4650000|committed|side=held-in-present;rdi=0000006EB93FF690|committed|side=restored-from-save;r8=0000006EB93FF4F0|committed|side=restored-from-save
32,2026-08-31 18:53:47,20824,chunk_02.txt,DIED,0,0,0,25,29,29,C0000005,00007FFDF466E17B,ucrtbase.dll+1E17B,ucrtbase.dll,1E17B,18956,0,0,0,1,1,writing,00007FFDF466E59E,ucrtbase.dll,other,,,,6,ucrtbase.dll+1E17B > ucrtbase.dll+18588 > ss_ctx.exe+124A2 > ss_ctx.exe+3238 > KERNEL32.DLL+2E8D7 > ntdll.dll+8C3FC,module-like,,,0,00000057ACC00000,00000057ACBF5000,00000057ABC00000,00000057ACBFF580,ucrtbase.dll,restored-other,6,3,3,0,0,0,6,rcx=00007FFDF466E136|committed|side=held-in-present;rsp=00000057ACBFF580|committed|side=restored-from-save;rbp=00000057ACBFF710|committed|side=restored-from-save;rsi=00007FFDF4650000|committed|side=held-in-present;rdi=00007FFDF466E136|committed|side=held-in-present;r8=00000057ACBFF5E8|committed|side=restored-from-save
34,2026-08-31 18:54:04,26004,chunk_02.txt,DIED,0,0,0,entered,23,23,C0000005,00007FFDF798C559,ntdll.dll+C559,ntdll.dll,C559,7592,0,0,0,1,1,reading,0000000000000000,unmapped,unmapped,,,rax;rcx;rdx;rbp;rsi;r9;r10,7,ntdll.dll+C559 > ntdll.dll+D8E2 > mono-2.0-bdwgc.dll+70D07 > mono-2.0-bdwgc.dll+70CAB > ss_ctx.exe+2FFA > KERNEL32.DLL+2E8D7 > ntdll.dll+8C3FC,null-or-small,,,0,000000013F000000,000000013EFF5000,000000013E000000,000000013EFFFB60,ntdll.dll,restored-other,3,3,0,0,1,0,2,rsp=000000013EFFFB60|committed|side=restored-from-save;r8=000000013EFFFB60|committed|side=restored-from-save;r14=000001F6564F97C8|committed|heap=game's runtime/rewind|side=restored-from-save
35,2026-08-31 18:54:11,12112,chunk_02.txt,DIED,0,0,0,entered,21,21,C0000005,00007FFDF466E558,ucrtbase.dll+1E558,ucrtbase.dll,1E558,24144,0,0,0,1,1,reading,FFFFFFFFFFFFFFFF,unmapped,unmapped,,,,6,ucrtbase.dll+1E558 > ucrtbase.dll+18588 > ss_ctx.exe+124A2 > ss_ctx.exe+331D > KERNEL32.DLL+2E8D7 > ntdll.dll+8C3FC,all-ones,,"high half FFFFFFFF present, low half ALL ONES - a 64-bit value whose low dword was -1 when it was read",0,0000009702000000,0000009701FF5000,0000009701000000,0000009701FFF2B0,ucrtbase.dll,restored-other,6,5,1,0,0,0,6,rsp=0000009701FFF2B0|committed|side=restored-from-save;rbp=0000009701FFF390|committed|side=restored-from-save;rsi=00007FFDF4650000|committed|side=held-in-present;rdi=0000009701FFF3D0|committed|side=restored-from-save;r8=0000009701FFF2B0|committed|side=restored-from-save;r13=000001CB57608930|committed|side=restored-from-save
36,2026-08-31 18:54:17,19784,chunk_02.txt,DIED,0,0,0,entered,22,22,C0000005,00007FF7FFFFFFFF,unknown+0,unknown,0,732,0,0,0,1,1,executing,00007FF7FFFFFFFF,unmapped,unmapped,,,,1,NOT_EXECUTABLE,half-ptr-low-ones,surviving-half-matches-a-module-base-high,"high half 00007FF7 present, low half ALL ONES - a 64-bit value whose low dword was -1 when it was read",0,000000D73B600000,000000D73B5F5000,000000D73A600000,000000D73B5FF950,KERNELBASE.dll,restored-other,3,3,0,0,1,0,2,rsp=000000D73B5FF950|committed|side=restored-from-save;rbp=000000D73B5FF9D0|committed|side=restored-from-save;r12=000002D6BB5782D8|committed|heap=game's runtime/rewind|side=restored-from-save
37,2026-08-31 18:54:23,26088,chunk_02.txt,DIED,0,0,0,entered,12,12,C0000005,00007FFDF466E1A4,ucrtbase.dll+1E1A4,ucrtbase.dll,1E1A4,20144,0,0,0,1,1,reading,0000000000000000,unmapped,unmapped,,,rax;rdx;r9;r10;r12;r14,6,ucrtbase.dll+1E1A4 > ucrtbase.dll+18588 > ss_ctx.exe+124A2 > ss_ctx.exe+3238 > KERNEL32.DLL+2E8D7 > ntdll.dll+8C3FC,null-or-small,,,0,00000001DAC00000,00000001DABF5000,00000001D9C00000,00000001DABFF490,ucrtbase.dll,restored-other,6,4,2,0,0,0,6,rcx=00007FFDF466E1A4|committed|side=held-in-present;rsp=00000001DABFF490|committed|side=restored-from-save;rbp=00000001DABFF620|committed|side=restored-from-save;rsi=00007FFDF4650000|committed|side=held-in-present;rdi=00000001DABFF5B0|committed|side=restored-from-save;r8=00000001DABFF490|committed|side=restored-from-save
41,2026-08-31 18:54:48,12736,chunk_03.txt,DIED,0,0,0,entered,9,9,C0000005,00007FFDF468CCCB,ucrtbase.dll+3CCCB,ucrtbase.dll,3CCCB,15452,0,0,0,1,1,reading,FFFFFFFFFFFFFFFF,unmapped,unmapped,,,,4,ucrtbase.dll+3CCCB > ss_ctx.exe+3063 > KERNEL32.DLL+2E8D7 > ntdll.dll+8C3FC,all-ones,,"high half FFFFFFFF present, low half ALL ONES - a 64-bit value whose low dword was -1 when it was read",0,00000041F6000000,00000041F5FF5000,00000041F5000000,00000041F5FFFD68,ucrtbase.dll,restored-other,6,5,1,0,2,0,4,rcx=00007FFDF468CCC2|committed|side=held-in-present;rbx=000001CF570E4F08|committed|heap=game's runtime/rewind|side=restored-from-save;rsp=00000041F5FFFD68|committed|side=restored-from-save;rbp=00000041F5FFFDF0|committed|side=restored-from-save;r8=00000041F5FFFD68|committed|side=restored-from-save;r12=000001CF570E5330|committed|heap=game's runtime/rewind|side=restored-from-save
44,2026-08-31 18:55:11,8928,chunk_03.txt,DIED,0,0,0,entered,13,13,C0000005,00007FFDF46951E7,ucrtbase.dll+451E7,ucrtbase.dll,451E7,22144,0,0,0,1,1,writing,0000000000000000,unmapped,unmapped,,,rdx;rdi;r9;r10;r12;r14,8,ucrtbase.dll+451E7 > ucrtbase.dll+19D0C > ucrtbase.dll+1E541 > ucrtbase.dll+18588 > ss_ctx.exe+124A2 > ss_ctx.exe+3238 > KERNEL32.DLL+2E8D7 > ntdll.dll+8C3FC,null-or-small,,,0,000000391D600000,000000391D5F5000,000000391C600000,000000391D5FF290,ucrtbase.dll,restored-other,3,3,0,0,0,0,3,rbx=000000391D5FF480|committed|side=restored-from-save;rsp=000000391D5FF290|committed|side=restored-from-save;rbp=000000391D5FF4D0|committed|side=restored-from-save
46,2026-08-31 18:55:21,21636,chunk_03.txt,DIED,0,0,0,25,29,29,C0000005,00007FFDF466E17B,ucrtbase.dll+1E17B,ucrtbase.dll,1E17B,13888,0,0,0,1,1,writing,00007FFDF46689AA,ucrtbase.dll,other,,,,6,ucrtbase.dll+1E17B > ucrtbase.dll+18588 > ss_ctx.exe+124A2 > ss_ctx.exe+3238 > KERNEL32.DLL+2E8D7 > ntdll.dll+8C3FC,module-like,,,0,0000008D8B600000,0000008D8B5F5000,0000008D8A600000,0000008D8B5FF290,ucrtbase.dll,restored-other,7,4,3,0,0,0,7,rax=0000008D8B5FF8E0|committed|side=restored-from-save;rcx=00007FFDF4668542|committed|side=held-in-present;rsp=0000008D8B5FF290|committed|side=restored-from-save;rbp=0000008D8B5FF420|committed|side=restored-from-save;rsi=00007FFDF4650000|committed|side=held-in-present;rdi=00007FFDF4668542|committed|side=held-in-present;r8=0000008D8B5FF320|committed|side=restored-from-save
48,2026-08-31 18:55:40,24692,chunk_03.txt,DIED,0,0,0,entered,19,19,C0000005,00007FFDF473D171,ucrtbase.dll+ED171,ucrtbase.dll,ED171,19080,0,0,0,1,1,reading,0000000000000000,unmapped,unmapped,,,rax;rdx;rdi;r9;r10;r15,4,ucrtbase.dll+ED171 > ss_ctx.exe+3255 > KERNEL32.DLL+2E8D7 > ntdll.dll+8C3FC,null-or-small,,,0,000000C914600000,000000C9145F5000,000000C913600000,000000C9145FFD58,ucrtbase.dll,restored-other,6,5,1,0,1,0,5,rcx=00007FFDF473D167|committed|side=held-in-present;rsp=000000C9145FFD58|committed|side=restored-from-save;rbp=000000C9145FFDE0|committed|side=restored-from-save;r8=000000C9145FFD58|committed|side=restored-from-save;r12=000002C60444FB68|committed|heap=game's runtime/rewind|side=restored-from-save;r13=000000C9145FFDA0|committed|side=restored-from-save
49,2026-08-31 18:55:46,22424,chunk_03.txt,DIED,0,0,0,entered,15,15,C0000005,00007FFDF4669CD8,ucrtbase.dll+19CD8,ucrtbase.dll,19CD8,3240,0,0,0,1,1,reading,0000000000019DFC,unmapped,unmapped,,,,7,ucrtbase.dll+19CD8 > ucrtbase.dll+1E541 > ucrtbase.dll+18588 > ss_ctx.exe+124A2 > ss_ctx.exe+3238 > KERNEL32.DLL+2E8D7 > ntdll.dll+8C3FC,other,,,0,0000003D8D600000,0000003D8D5F5000,0000003D8C600000,0000003D8D5FF3A0,ucrtbase.dll,restored-other,7,5,2,0,0,0,7,rcx=00007FFDF4669CD8|committed|side=held-in-present;rbx=0000003D8D5FF540|committed|side=restored-from-save;rsp=0000003D8D5FF3A0|committed|side=restored-from-save;rbp=0000003D8D5FF500|committed|side=restored-from-save;rsi=00007FFDF4650000|committed|side=held-in-present;rdi=0000003D8D5FF540|committed|side=restored-from-save;r8=0000003D8D5FF3A0|committed|side=restored-from-save
51,2026-08-31 18:55:55,8912,chunk_03.txt,DIED,0,0,0,entered,13,13,C0000005,00007FFDF4669E9A,ucrtbase.dll+19E9A,ucrtbase.dll,19E9A,9460,0,0,0,1,1,reading,FFFFFFFFFFFFFFFF,unmapped,unmapped,,,,8,ucrtbase.dll+19E9A > ucrtbase.dll+19A09 > ucrtbase.dll+1E541 > ucrtbase.dll+18588 > ss_ctx.exe+124A2 > ss_ctx.exe+3238 > KERNEL32.DLL+2E8D7 > ntdll.dll+8C3FC,all-ones,,"high half FFFFFFFF present, low half ALL ONES - a 64-bit value whose low dword was -1 when it was read",0,0000003CEB000000,0000003CEAFF5000,0000003CEA000000,0000003CEAFFF120,ucrtbase.dll,restored-other,5,4,1,0,0,0,5,rbx=0000003CEAFFF2F0|committed|side=restored-from-save;rsp=0000003CEAFFF120|committed|side=restored-from-save;rdi=00007FFDF4669E85|committed|side=held-in-present;r8=0000003CEAFFF140|committed|side=restored-from-save;r15=0000003CEAFFF750|committed|side=restored-from-save
57,2026-08-31 18:56:33,9596,chunk_03.txt,DIED,0,0,0,entered,16,16,C0000005,00007FFD325EC460,mono-2.0-bdwgc.dll+3C460,mono-2.0-bdwgc.dll,3C460,10400,0,0,0,1,1,reading,FFFFFFFFFFFFFFFF,unmapped,unmapped,,,,6,mono-2.0-bdwgc.dll+3C460 > mono-2.0-bdwgc.dll+12A8FF > mono-2.0-bdwgc.dll+B519F > ss_ctx.exe+32EF > KERNEL32.DLL+2E8D7 > ntdll.dll+8C3FC,all-ones,,"high half FFFFFFFF present, low half ALL ONES - a 64-bit value whose low dword was -1 when it was read",0,000000409C600000,000000409C5F5000,000000409B600000,000000409C5FFB48,ss_ctx.exe,ss_ctx-parked,6,5,0,1,0,0,6,rax=00000140F3A82D20|committed|side=restored-from-save;rbx=00007FF704BA32E9|committed|side=neither;rsp=000000409C5FFB48|committed|side=restored-from-save;r9=000000409C5FFBC0|committed|side=restored-from-save;r14=000000409C5FFBC0|committed|side=restored-from-save;r15=00000140F3A82D20|committed|side=restored-from-save
60,2026-08-31 18:56:52,23572,chunk_03.txt,DIED,0,0,0,entered,5,5,C0000005,00007FFDF798C55C,ntdll.dll+C55C,ntdll.dll,C55C,26672,0,0,1,0,1,reading,0000000000000000,unmapped,unmapped,,,rax;rdx;rbp;rsi;r9;r10,0,,null-or-small,,,0,0000005B12400000,0000005B123F5000,0000005B11400000,0000005B123FF420,ntdll.dll,restored-other,4,3,1,0,1,0,3,rcx=00007FFDF798C55C|committed|side=held-in-present;rsp=0000005B123FF420|committed|side=restored-from-save;r8=0000005B123FF420|committed|side=restored-from-save;r14=000001C2DD94A5E8|committed|heap=game's runtime/rewind|side=restored-from-save
60,2026-08-31 18:56:52,23572,chunk_03.txt,DIED,0,0,0,entered,5,5,C0000005,00007FFDF798C55C,ntdll.dll+C55C,ntdll.dll,C55C,25604,0,0,0,1,2,reading,0000000000000000,unmapped,unmapped,,,rax;rdx;rbp;rsi;r9;r10,4,ntdll.dll+C55C > ntdll.dll+D8E2 > mono-2.0-bdwgc.dll+70D07 > mono-2.0-bdwgc.dll+70CAB,null-or-small,,,0,0000005B13400000,0000005B133F5000,0000005B12400000,0000005B133FF9D0,ntdll.dll,restored-other,4,3,1,0,1,0,3,rcx=00007FFDF798C55C|committed|side=held-in-present;rsp=0000005B133FF9D0|committed|side=restored-from-save;r8=0000005B133FF9D0|committed|side=restored-from-save;r14=000001C2DD94A5E8|committed|heap=game's runtime/rewind|side=restored-from-save
62,2026-08-31 18:57:02,10608,chunk_04.txt,DIED,0,0,0,entered,7,7,C0000005,00007FFDF4669A73,ucrtbase.dll+19A73,ucrtbase.dll,19A73,23904,0,0,0,1,1,reading,0000000000000000,unmapped,unmapped,,,rax;rdx;rbp;r9;r10;r12;r14,7,ucrtbase.dll+19A73 > ucrtbase.dll+1E541 > ucrtbase.dll+18588 > ss_ctx.exe+124A2 > ss_ctx.exe+3238 > KERNEL32.DLL+2E8D7 > ntdll.dll+8C3FC,null-or-small,,,0,000000B515000000,000000B514FF5000,000000B514000000,000000B514FFF3D0,ucrtbase.dll,restored-other,5,3,2,0,0,0,5,rcx=00007FFDF4669A73|committed|side=held-in-present;rbx=000000B514FFF570|committed|side=restored-from-save;rsp=000000B514FFF3D0|committed|side=restored-from-save;rsi=00007FFDF4650000|committed|side=held-in-present;r8=000000B514FFF3D0|committed|side=restored-from-save
