run,session_time,pid,chunk,classified_outcome,run_exit_code,run_hung,stdout_done,stdout_cycle,loads_before_fault,saves_before_fault,code,pc,site,module,offset,thread,frames_since_restore,truncated,interleaved,regs_trusted,n_faults_in_session,access_kind,access_addr,access_who,access_who_class,access_heap,access_heap_rewind,faulting_regs,unwind_depth,chain,addr_shape,half_ptr_match,shape_line,pattern_line,stack_base,stack_limit,stack_reserve,rsp,park_module,thread_role,n_regs_reported,n_regs_restored,n_regs_held,n_regs_neither,n_regs_rewind_heap,n_regs_present_heap,n_regs_no_heap,reg_summary
64,2026-08-31 18:57:13,3224,chunk_04.txt,DIED,0,0,0,entered,20,20,C0000005,00007FFDF46951E7,ucrtbase.dll+451E7,ucrtbase.dll,451E7,16116,0,0,0,1,1,writing,0000000000000000,unmapped,unmapped,,,rdx;rdi;r9;r10;r12;r14,8,ucrtbase.dll+451E7 > ucrtbase.dll+19D0C > ucrtbase.dll+1E541 > ucrtbase.dll+18588 > ss_ctx.exe+124A2 > ss_ctx.exe+3238 > KERNEL32.DLL+2E8D7 > ntdll.dll+8C3FC,null-or-small,,,0,000000BB04000000,000000BB03FF5000,000000BB03000000,000000BB03FFF120,ucrtbase.dll,restored-other,3,3,0,0,0,0,3,rbx=000000BB03FFF310|committed|side=restored-from-save;rsp=000000BB03FFF120|committed|side=restored-from-save;rbp=000000BB03FFF360|committed|side=restored-from-save
68,2026-08-31 18:57:45,16616,chunk_04.txt,DIED,0,0,0,entered,7,7,C0000005,00007FFDF73442F0,KERNEL32.DLL+842F0,KERNEL32.DLL,842F0,19076,0,0,0,1,1,reading,FFFFFFFFFFFFFFFF,unmapped,unmapped,,,,6,KERNEL32.DLL+842F0 > mono-2.0-bdwgc.dll+12A8DD > mono-2.0-bdwgc.dll+B519F > ss_ctx.exe+32EF > KERNEL32.DLL+2E8D7 > ntdll.dll+8C3FC,all-ones,,"high half FFFFFFFF present, low half ALL ONES - a 64-bit value whose low dword was -1 when it was read",0,0000008902000000,0000008901FF3000,0000008901000000,0000008901FFFB88,KERNEL32.DLL,restored-other,7,6,1,0,1,0,6,rcx=00007FFDF73442F0|committed|side=held-in-present;rbx=000001D5F4DC7868|committed|heap=game's runtime/rewind|side=restored-from-save;rsp=0000008901FFFB88|committed|side=restored-from-save;rbp=0000008901FFFD00|committed|side=restored-from-save;r8=0000008901FFFB88|committed|side=restored-from-save;r13=0000008901FFFCC0|committed|side=restored-from-save;r14=0000008901FFFC00|committed|side=restored-from-save
69,2026-08-31 18:57:48,17744,chunk_04.txt,DIED,0,0,0,entered,16,16,C0000005,00007FFDF468CCCB,ucrtbase.dll+3CCCB,ucrtbase.dll,3CCCB,4328,0,0,0,1,1,reading,0000000000000000,unmapped,unmapped,,,rax;rdx;rsi;rdi;r9;r10;r14;r15,4,ucrtbase.dll+3CCCB > ss_ctx.exe+3063 > KERNEL32.DLL+2E8D7 > ntdll.dll+8C3FC,null-or-small,,,0,000000E0CF800000,000000E0CF7F5000,000000E0CE800000,000000E0CF7FF868,ucrtbase.dll,restored-other,6,5,1,0,2,0,4,rcx=00007FFDF468CCC2|committed|side=held-in-present;rbx=000002C2543798C8|committed|heap=game's runtime/rewind|side=restored-from-save;rsp=000000E0CF7FF868|committed|side=restored-from-save;rbp=000000E0CF7FF8F0|committed|side=restored-from-save;r8=000000E0CF7FF868|committed|side=restored-from-save;r12=000002C254390208|committed|heap=game's runtime/rewind|side=restored-from-save
71,2026-08-31 18:58:00,9596,chunk_04.txt,DIED,0,0,0,entered,14,14,C0000005,00007FFDF4669ECA,ucrtbase.dll+19ECA,ucrtbase.dll,19ECA,1908,0,0,0,1,1,writing,0000000000000010,unmapped,unmapped,,,,8,ucrtbase.dll+19ECA > ucrtbase.dll+19A09 > ucrtbase.dll+1E541 > ucrtbase.dll+18588 > ss_ctx.exe+124A2 > ss_ctx.exe+3238 > KERNEL32.DLL+2E8D7 > ntdll.dll+8C3FC,null-or-small,,,0,000000F78E000000,000000F78DFF5000,000000F78D000000,000000F78DFFEF70,ucrtbase.dll,restored-other,6,5,1,0,0,0,6,rcx=00007FFDF4669ECA|committed|side=held-in-present;rsp=000000F78DFFEF70|committed|side=restored-from-save;rdi=000000F78DFFF5A0|committed|side=restored-from-save;r8=000000F78DFFEF70|committed|side=restored-from-save;r14=000000F78DFFF160|committed|side=restored-from-save;r15=000000F78DFFF5A0|committed|side=restored-from-save
73,2026-08-31 18:58:11,1760,chunk_04.txt,DIED,0,0,0,entered,11,11,C0000005,00007FFDF4669A76,ucrtbase.dll+19A76,ucrtbase.dll,19A76,19320,0,0,0,1,1,writing,00007FFDF4669A76,ucrtbase.dll,other,,,rcx,7,ucrtbase.dll+19A76 > ucrtbase.dll+1E541 > ucrtbase.dll+18588 > ss_ctx.exe+124A2 > ss_ctx.exe+3238 > KERNEL32.DLL+2E8D7 > ntdll.dll+8C3FC,module-like,,,0,0000005C9DE00000,0000005C9DDF5000,0000005C9CE00000,0000005C9DDFF4A0,ucrtbase.dll,restored-other,5,3,2,0,0,0,5,rcx=00007FFDF4669A76|committed|side=held-in-present;rbx=0000005C9DDFF640|committed|side=restored-from-save;rsp=0000005C9DDFF4A0|committed|side=restored-from-save;rsi=00007FFDF4650000|committed|side=held-in-present;r8=0000005C9DDFF4A0|committed|side=restored-from-save
74,2026-08-31 18:58:15,23316,chunk_04.txt,DIED,0,0,0,25,26,26,C0000005,00007FFDF468CCCB,ucrtbase.dll+3CCCB,ucrtbase.dll,3CCCB,24272,0,0,0,1,1,reading,0000000000000000,unmapped,unmapped,,,rax;rdx;rdi;r9;r10;r15,4,ucrtbase.dll+3CCCB > ss_ctx.exe+3063 > KERNEL32.DLL+2E8D7 > ntdll.dll+8C3FC,null-or-small,,,0,00000089C7E00000,00000089C7DF3000,00000089C6E00000,00000089C7DFF7A8,ucrtbase.dll,restored-other,6,5,1,0,2,0,4,rcx=00007FFDF468CCC2|committed|side=held-in-present;rbx=000001A84F405D78|committed|heap=game's runtime/rewind|side=restored-from-save;rsp=00000089C7DFF7A8|committed|side=restored-from-save;rbp=00000089C7DFF830|committed|side=restored-from-save;r8=00000089C7DFF7A8|committed|side=restored-from-save;r12=000001A851BE2AE8|committed|heap=game's runtime/rewind|side=restored-from-save
79,2026-08-31 18:58:49,25116,chunk_04.txt,DIED,0,0,0,entered,12,12,C0000005,00007FFDF798C559,ntdll.dll+C559,ntdll.dll,C559,5096,0,0,0,1,1,reading,0000000000000000,unmapped,unmapped,,,rax;rcx;rdx;rbp;rsi;r9;r10,7,ntdll.dll+C559 > ntdll.dll+D8E2 > mono-2.0-bdwgc.dll+70D07 > mono-2.0-bdwgc.dll+70CAB > ss_ctx.exe+2FFA > KERNEL32.DLL+2E8D7 > ntdll.dll+8C3FC,null-or-small,,,0,0000000344800000,00000003447F5000,0000000343800000,00000003447FF920,ntdll.dll,restored-other,3,3,0,0,1,0,2,rsp=00000003447FF920|committed|side=restored-from-save;r8=00000003447FF920|committed|side=restored-from-save;r14=00000145CCD09778|committed|heap=game's runtime/rewind|side=restored-from-save
81,2026-08-31 18:59:00,22252,chunk_05.txt,DIED,0,0,0,entered,5,5,C0000005,00007FFDF798C559,ntdll.dll+C559,ntdll.dll,C559,4716,0,0,1,0,1,reading,0000000000000000,unmapped,unmapped,,,rax;rcx;rdx;rbp;rsi;r9;r10,6,ntdll.dll+C559 > ntdll.dll+D8E2 > mono-2.0-bdwgc.dll+70D07 > mono-2.0-bdwgc.dll+70CAB > ss_ctx.exe+2FFA > KERNEL32.DLL+2E8D7,null-or-small,,,0,000000BE8AA00000,000000BE8A9F5000,000000BE89A00000,000000BE8A9FFA80,ntdll.dll,restored-other,3,3,0,0,1,0,2,rsp=000000BE8A9FFA80|committed|side=restored-from-save;r8=000000BE8A9FFA80|committed|side=restored-from-save;r14=00000211106897C8|committed|heap=game's runtime/rewind|side=restored-from-save
81,2026-08-31 18:59:00,22252,chunk_05.txt,DIED,0,0,0,entered,5,5,C0000005,00007FFDF798C559,ntdll.dll+C559,ntdll.dll,C559,14908,0,0,0,1,2,reading,0000000000000000,unmapped,unmapped,,,rax;rcx;rdx;rbp;rsi;r9;r10,7,ntdll.dll+C559 > ntdll.dll+D8E2 > mono-2.0-bdwgc.dll+70D07 > mono-2.0-bdwgc.dll+70CAB > ss_ctx.exe+2FFA > KERNEL32.DLL+2E8D7 > ntdll.dll+8C3FC,null-or-small,,,0,000000BE8BA00000,000000BE8B9F3000,000000BE8AA00000,000000BE8B9FFAE0,ntdll.dll,restored-other,3,3,0,0,1,0,2,rsp=000000BE8B9FFAE0|committed|side=restored-from-save;r8=000000BE8B9FFAE0|committed|side=restored-from-save;r14=00000211106897C8|committed|heap=game's runtime/rewind|side=restored-from-save
83,2026-08-31 18:59:12,19056,chunk_05.txt,DIED,0,0,0,entered,2,2,C0000005,00007FFDF469505C,ucrtbase.dll+4505C,ucrtbase.dll,4505C,26004,0,0,0,1,1,reading,FFFFFFFFFFFFFFFF,unmapped,unmapped,,,,8,ucrtbase.dll+4505C > ucrtbase.dll+19D0C > ucrtbase.dll+1E541 > ucrtbase.dll+18588 > ss_ctx.exe+124A2 > ss_ctx.exe+3238 > KERNEL32.DLL+2E8D7 > ntdll.dll+8C3FC,all-ones,,"high half FFFFFFFF present, low half ALL ONES - a 64-bit value whose low dword was -1 when it was read",0,0000006EA8200000,0000006EA81F5000,0000006EA7200000,0000006EA81FF2F0,ucrtbase.dll,restored-other,8,4,4,0,0,0,8,rcx=00007FFDF4694FF0|committed|side=held-in-present;rbx=00007FFDF4694FF0|committed|side=held-in-present;rsp=0000006EA81FF2F0|committed|side=restored-from-save;rbp=0000006EA81FF4A0|committed|side=restored-from-save;rsi=00007FFDF4650000|committed|side=held-in-present;rdi=0000006EA81FF4E0|committed|side=restored-from-save;r8=0000006EA81FF338|committed|side=restored-from-save;r14=00007FFDF4650000|committed|side=held-in-present
84,2026-08-31 18:59:14,19500,chunk_05.txt,DIED,0,0,0,entered,24,24,C0000005,00007FFDF4662E7A,ucrtbase.dll+12E7A,ucrtbase.dll,12E7A,11028,0,0,0,1,1,reading,0000000000000000,unmapped,unmapped,,,rax;rdx;r9;r10;r12;r14,7,ucrtbase.dll+12E7A > ucrtbase.dll+1E66F > ucrtbase.dll+18588 > ss_ctx.exe+124A2 > ss_ctx.exe+331D > KERNEL32.DLL+2E8D7 > ntdll.dll+8C3FC,null-or-small,,,0,000000585DA00000,000000585D9F5000,000000585CA00000,000000585D9FF570,ucrtbase.dll,restored-other,7,5,2,0,0,0,7,rcx=00007FFDF4662E65|committed|side=held-in-present;rsp=000000585D9FF570|committed|side=restored-from-save;rbp=000000585D9FF680|committed|side=restored-from-save;rsi=00007FFDF4650000|committed|side=held-in-present;rdi=000000585D9FF6C0|committed|side=restored-from-save;r8=000000585D9FF598|committed|side=restored-from-save;r13=0000017CC2282BA0|committed|side=restored-from-save
87,2026-08-31 18:59:34,6868,chunk_05.txt,DIED,0,0,0,25,25,25,C0000005,00007FFDF4667066,ucrtbase.dll+17066,ucrtbase.dll,17066,19496,0,0,0,1,1,reading,FFFFFFFFFFFFFFFF,unmapped,unmapped,,,rsi,6,ucrtbase.dll+17066 > ucrtbase.dll+185B2 > ss_ctx.exe+124A2 > ss_ctx.exe+3238 > KERNEL32.DLL+2E8D7 > ntdll.dll+8C3FC,all-ones,,"high half FFFFFFFF present, low half ALL ONES - a 64-bit value whose low dword was -1 when it was read",0,0000008544C00000,0000008544BF5000,0000008543C00000,0000008544BFF5C0,ucrtbase.dll,restored-other,4,2,2,0,0,0,4,rcx=00007FFDF4666F94|committed|side=held-in-present;rsp=0000008544BFF5C0|committed|side=restored-from-save;rdi=00007FFDF4666F94|committed|side=held-in-present;r8=0000008544BFF5C0|committed|side=restored-from-save
88,2026-08-31 18:59:41,14120,chunk_05.txt,DIED,0,0,0,entered,15,15,C0000005,00007FF7FFFFFFFF,unknown+0,unknown,0,3900,0,0,0,1,1,executing,00007FF7FFFFFFFF,unmapped,unmapped,,,,1,NOT_EXECUTABLE,half-ptr-low-ones,surviving-half-matches-a-module-base-high,"high half 00007FF7 present, low half ALL ONES - a 64-bit value whose low dword was -1 when it was read",0,000000A0FB600000,000000A0FB5F5000,000000A0FA600000,000000A0FB5FFA50,KERNELBASE.dll,restored-other,4,4,0,0,1,0,3,rsp=000000A0FB5FFA50|committed|side=restored-from-save;rbp=000000A0FB5FFAD0|committed|side=restored-from-save;r12=000001F33D097C80|committed|heap=game's runtime/rewind|side=restored-from-save;r13=000001F33D7FBBE0|committed|side=restored-from-save
89,2026-08-31 18:59:46,6992,chunk_05.txt,DIED,0,0,0,entered,2,2,C0000005,00007FFDF4669A76,ucrtbase.dll+19A76,ucrtbase.dll,19A76,13376,0,0,0,1,1,writing,00007FFDF4669A76,ucrtbase.dll,other,,,rcx,7,ucrtbase.dll+19A76 > ucrtbase.dll+1E541 > ucrtbase.dll+18588 > ss_ctx.exe+124A2 > ss_ctx.exe+3238 > KERNEL32.DLL+2E8D7 > ntdll.dll+8C3FC,module-like,,,0,0000002E0D800000,0000002E0D7F5000,0000002E0C800000,0000002E0D7FF160,ucrtbase.dll,restored-other,5,3,2,0,0,0,5,rcx=00007FFDF4669A76|committed|side=held-in-present;rbx=0000002E0D7FF300|committed|side=restored-from-save;rsp=0000002E0D7FF160|committed|side=restored-from-save;rsi=00007FFDF4650000|committed|side=held-in-present;r8=0000002E0D7FF160|committed|side=restored-from-save
90,2026-08-31 18:59:49,22104,chunk_05.txt,DIED,0,0,0,entered,18,18,C0000005,0000000000000000,unknown+0,unknown,0,16336,0,1,0,1,1,executing,0000000000000000,unmapped,unmapped,,,rax;rdx;rbp;r9;r10;r12,1,NOT_EXECUTABLE,SET-ASIDE-truncated-pc,,,0,0000006104000000,0000006103FF5000,0000006103000000,0000006103FFF5C8,ucrtbase.dll,restored-other,6,5,1,0,0,0,6,rcx=00007FFDF473DB48|committed|side=held-in-present;rsp=0000006103FFF5C8|committed|side=restored-from-save;rdi=0000006103FFFC00|committed|side=restored-from-save;r8=0000006103FFF5C8|committed|side=restored-from-save;r14=0000006103FFF7C0|committed|side=restored-from-save;r15=0000006103FFFC00|committed|side=restored-from-save
92,2026-08-31 19:00:01,22744,chunk_05.txt,DIED,0,0,0,entered,11,11,C0000005,00007FFDF468CCCB,ucrtbase.dll+3CCCB,ucrtbase.dll,3CCCB,27408,0,0,0,1,1,reading,0000000000000000,unmapped,unmapped,,,rax;rdx;r9;r10;r15,4,ucrtbase.dll+3CCCB > ss_ctx.exe+3063 > KERNEL32.DLL+2E8D7 > ntdll.dll+8C3FC,null-or-small,,,0,0000009FA1800000,0000009FA17F5000,0000009FA0800000,0000009FA17FFAA8,ucrtbase.dll,restored-other,6,5,1,0,2,0,4,rcx=00007FFDF468CCC2|committed|side=held-in-present;rbx=00000299CFF34BF8|committed|heap=game's runtime/rewind|side=restored-from-save;rsp=0000009FA17FFAA8|committed|side=restored-from-save;rbp=0000009FA17FFB30|committed|side=restored-from-save;r8=0000009FA17FFAA8|committed|side=restored-from-save;r12=00000299D2A125C8|committed|heap=game's runtime/rewind|side=restored-from-save
96,2026-08-31 19:00:25,18492,chunk_05.txt,DIED,0,0,0,entered,22,22,C0000005,00007FFDF4662E7A,ucrtbase.dll+12E7A,ucrtbase.dll,12E7A,26184,0,0,0,1,1,reading,0000000000000000,unmapped,unmapped,,,rax;rdx;r9;r10;r12;r14,7,ucrtbase.dll+12E7A > ucrtbase.dll+1E66F > ucrtbase.dll+18588 > ss_ctx.exe+124A2 > ss_ctx.exe+3238 > KERNEL32.DLL+2E8D7 > ntdll.dll+8C3FC,null-or-small,,,0,0000000D85000000,0000000D84FF5000,0000000D84000000,0000000D84FFF030,ucrtbase.dll,restored-other,6,4,2,0,0,0,6,rcx=00007FFDF4662E65|committed|side=held-in-present;rsp=0000000D84FFF030|committed|side=restored-from-save;rbp=0000000D84FFF140|committed|side=restored-from-save;rsi=00007FFDF4650000|committed|side=held-in-present;rdi=0000000D84FFF180|committed|side=restored-from-save;r8=0000000D84FFF058|committed|side=restored-from-save
97,2026-08-31 19:00:31,26648,chunk_05.txt,DIED,0,0,0,25,28,28,C0000005,00007FF704BA2F54,ss_ctx.exe+2F54,ss_ctx.exe,2F54,16204,0,0,0,1,1,reading,00000000000000D8,unmapped,unmapped,,,,3,ss_ctx.exe+2F54 > KERNEL32.DLL+2E8D7 > ntdll.dll+8C3FC,null-or-small,,,0,0000008A6FA00000,0000008A6F9F5000,0000008A6EA00000,0000008A6F9FFCB0,ss_ctx.exe,ss_ctx-parked,5,4,0,1,1,0,4,rcx=00007FF704BA2F54|committed|side=neither;rsp=0000008A6F9FFCB0|committed|side=restored-from-save;rbp=0000008A6F9FFD30|committed|side=restored-from-save;r8=0000008A6F9FFCB0|committed|side=restored-from-save;r12=00000241DA8081D8|committed|heap=game's runtime/rewind|side=restored-from-save
98,2026-08-31 19:00:39,19772,chunk_05.txt,DIED,0,0,0,entered,15,15,C0000005,00007FFDF4662E7A,ucrtbase.dll+12E7A,ucrtbase.dll,12E7A,22140,0,0,0,1,1,reading,0000000000000000,unmapped,unmapped,,,rax;rdx;r9;r10;r12;r14,7,ucrtbase.dll+12E7A > ucrtbase.dll+1E66F > ucrtbase.dll+18588 > ss_ctx.exe+124A2 > ss_ctx.exe+331D > KERNEL32.DLL+2E8D7 > ntdll.dll+8C3FC,null-or-small,,,0,000000328E200000,000000328E1F5000,000000328D200000,000000328E1FF3C0,ucrtbase.dll,restored-other,7,5,2,0,0,0,7,rcx=00007FFDF4662E65|committed|side=held-in-present;rsp=000000328E1FF3C0|committed|side=restored-from-save;rbp=000000328E1FF4D0|committed|side=restored-from-save;rsi=00007FFDF4650000|committed|side=held-in-present;rdi=000000328E1FF510|committed|side=restored-from-save;r8=000000328E1FF3E8|committed|side=restored-from-save;r13=000002110A249CA0|committed|side=restored-from-save
