frame,total_ms,raster_ms,other_ms,flushes,tris,binned,area_px,bbox_px,tw,th
1,0.000,2.685,-2.685,1,2,480,921600,1843200,2048,1024
2,93.639,1.848,91.791,1,2,480,921600,1843200,2048,1024
3,16.414,1.586,14.828,1,2,480,921600,1843200,2048,1024
4,16.839,1.764,15.075,1,2,480,921600,1843200,2048,1024
5,19.413,4.066,15.347,1,6,1160,2605954,4495968,2048,1024
6,16.770,4.325,12.444,1,6,1160,2605954,4495968,2048,1024
7,16.334,4.057,12.277,1,6,1160,2605954,4495968,2048,1024
8,16.318,4.053,12.265,1,6,1160,2605954,4495968,2048,1024
9,16.658,4.056,12.601,1,6,1160,2605954,4495968,2048,1024
10,16.822,4.176,12.646,1,6,1160,2605954,4495968,2048,1024
11,16.542,4.075,12.467,1,6,1160,2605954,4495968,2048,1024
12,16.722,4.112,12.610,1,6,1160,2605954,4495968,2048,1024
13,16.840,4.304,12.536,1,6,1160,2605954,4495968,2048,1024
14,40.772,8.338,32.434,2,8,1640,3524836,6333732,2048,1024
15,9.125,7.971,1.154,2,8,1640,3524836,6333732,2048,1024
16,16.961,8.210,8.752,2,8,1640,3524836,6333732,2048,1024
17,16.282,7.883,8.399,2,8,1640,3524836,6333732,2048,1024
18,17.142,8.324,8.818,2,8,1640,3524836,6333732,2048,1024
19,16.396,7.961,8.434,2,8,1640,3524836,6333732,2048,1024
20,16.828,8.239,8.588,2,8,1640,3524836,6333732,2048,1024
21,16.633,8.212,8.422,2,8,1640,3524836,6333732,2048,1024
22,16.963,8.464,8.499,2,8,1640,3524836,6333732,2048,1024
23,16.140,7.983,8.156,2,8,1640,3524836,6333732,2048,1024
24,16.744,8.059,8.685,2,8,1640,3524836,6333732,2048,1024
25,16.742,8.129,8.612,2,8,1640,3524836,6333732,2048,1024
26,16.758,8.218,8.540,2,8,1640,3524836,6333732,2048,1024
27,16.842,8.399,8.442,2,8,1640,3524836,6333732,2048,1024
28,16.188,7.922,8.266,2,8,1640,3524836,6333732,2048,1024
